Name,YC_Batch,Status,Founded_Year,Team_Size,Location,Short_Description,Long_Description,Industries,Website,LinkedIn,Twitter,Crunchbase,GitHub,Founders,Founder_LinkedIns,YC_URL
,WINTER 2017,,2017,18,"Monterrey, Nuevo Leon, Mexico",Blood testing device for early diagnosis of cancer and treatment…,,"MEDICAL DEVICES, DIAGNOSTICS",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/35691474,https://twitter.com/liza_velarde21,,,,https://www.linkedin.com/in/lizavelarde/ | https://linkedin.com/in/alejandroabarca | https://mx.linkedin.com/in/juan-felipe-yee-55107a5b,https://www.ycombinator.com/companies/delee
,WINTER 2020,,2019,26,"Mexico City, CDMX, Mexico",Digital banking for businesses in Latam.,,"FINTECH, B2B",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/delt-ai/,https://twitter.com/josedelaluz_,,,,https://www.linkedin.com/in/alejandro00 | https://www.linkedin.com/in/josedelaluz/,https://www.ycombinator.com/companies/delt-ai
,WINTER 2015,,,1,"Buenos Aires, Argentina","Online space for deliberation, policy making and democratic…",,"CIVIC TECH, GOVTECH",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,,https://twitter.com/ycombinator,https://www.crunchbase.com/organization/democracyos-5751,https://github.com/DemocracyOS/democracyos,,http://www.linkedin.com/in/guidovilarino,https://www.ycombinator.com/companies/democracyos
,SUMMER 2022,,2021,15,"São Paulo, State of São Paulo, Brazil",Shop and pay in installments anywhere,tl;dr: Drip combines the best of Pix and a credit card. We enable customers to pay with credit and earn cashback with the speed and widespread acceptance of Pix.,,https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/usedrip/,https://twitter.com/patrickfromdrip,,,tl;dr: Drip combines the best of Pix and a credit card. We enable customers to pay with credit and earn cashback with the speed and widespread acceptance of Pix.,https://www.linkedin.com/in/patrick-mcdougall-sterea/ | http://linkedin.com/in/p-albuqueqrue | https://www.linkedin.com/in/bianca-orsini-de-oliveira/ | https://www.linkedin.com/in/p-albuquerque/,https://www.ycombinator.com/companies/drip
,SUMMER 2022,,2022,,"Manaus, State of Amazonas, Brazil",AI Agent runs the entire international trade operation,,"ARTIFICIAL INTELLIGENCE, FINTECH, CRYPTO / WEB3, PAYMENTS, SUPPLY CHAIN",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,,https://twitter.com/vigmiranda,,,,https://www.linkedin.com/in/jo%C3%A3o-aguiar-8663b5230/ | https://www.linkedin.com/in/vitorgomesmiranda/ | https://www.linkedin.com/in/rodrigomfogaca/,https://www.ycombinator.com/companies/ecsa
,SUMMER 2018,,,55,"Mexico City, CDMX, Mexico",Developing AI to unleash diagnostic abundance.,,"DIGITAL HEALTH, HEALTHCARE",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/edenmedicalglobal/,https://twitter.com/RaymundoGzz19,,https://github.com/eva-tech,,https://www.linkedin.com/in/juli%C3%A1n-r%C3%ADos-cant%C3%BA-903b76106/ | https://www.linkedin.com/in/raymundo-gzz/,https://www.ycombinator.com/companies/eden-2
,WINTER 2019,,2018,50,"Buenos Aires, Argentina","Helping great teams hire better frontline workers, faster.",,RECRUITING,https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/emi-labs/,https://twitter.com/ycombinator,https://www.crunchbase.com/organization/emi-2,https://github.com/emilabs,,https://www.linkedin.com/in/andr%C3%A9s-arslanian-64246939 | https://ar.linkedin.com/in/mateo-cavasotto-25620223,https://www.ycombinator.com/companies/emi-labs
,SUMMER 2021,,,3,"Santiago, Santiago Metropolitan Region, Chile",Payments and scheduling for services professionals in LATAM,,"FINTECH, MARKETPLACE, SAAS",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/encuadrado,https://twitter.com/thomasmaremaa,,,,https://www.linkedin.com/in/tmaremaa | https://www.linkedin.com/in/tomasaguilera/,https://www.ycombinator.com/companies/encuadrado
,SUMMER 2019,,,14,"Buenos Aires, Argentina",Last-mile delivery for satellites.,,"COMMERCIAL SPACE LAUNCH, HARD TECH, SPACE EXPLORATION",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/epic-aerospace/,https://twitter.com/ycombinator,,,,https://www.linkedin.com/in/ignacio-b%C3%A9li%C3%A8res-montero-14b457b6/,https://www.ycombinator.com/companies/epic-aerospace
,WINTER 2021,,2020,150,"São Paulo, State of São Paulo, Brazil",The Logistics Operating System for E-commerce in LatAm,,"B2B, LOGISTICS, E-COMMERCE",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/estoca,https://twitter.com/ycombinator,https://www.crunchbase.com/organization/estoca,,,https://www.linkedin.com/in/caioborgesalmeida/ | https://www.linkedin.com/in/rodrigocava,https://www.ycombinator.com/companies/estoca
,SUMMER 2021,,2021,3,"Santiago, Santiago Metropolitan Region, Chile",Uber for Healthcare in Latinamerica,,"MARKETPLACE, CONSUMER HEALTH SERVICES",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/examedi,https://twitter.com/ycombinator,,https://github.com/Examedi,,https://www.linkedin.com/in/andres-kemeny/ | https://www.linkedin.com/in/juan-pablo-zepeda-nu%C3%B1ez-38423570/,https://www.ycombinator.com/companies/examedi
,WINTER 2020,,2019,36,,Salary advance to employees in Brazil.,,,https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,,https://twitter.com/ycombinator,https://www.crunchbase.com/organization/facio-b68a,,,https://www.linkedin.com/in/marcio-dos-santos/ | https://www.linkedin.com/in/saulo-tristao-4332331b/ | https://www.linkedin.com/in/ticiano/,https://www.ycombinator.com/companies/facio
,SUMMER 2021,,2021,8,"Quito, Ecuador","Digital pharmacy for Latam, that saves you money and time.",,E-COMMERCE,https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/fast-farma/,https://twitter.com/s_ribadeneira,https://www.crunchbase.com/organization/fastfarma,,,https://www.linkedin.com/in/sribadeneira/ | https://www.linkedin.com/in/marceloalbuja/,https://www.ycombinator.com/companies/fastfarma
,SUMMER 2021,,2018,100,"Córdoba, Cordoba, Argentina",We help students in Latin America graduate from College.,,"EDUCATION, ELEARNING, COMMUNITY",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/filadd,https://twitter.com/joacoolmedo,https://www.crunchbase.com/organization/filadd,,,https://www.linkedin.com/in/joaquin-olmedo-9619b1100/ | https://www.linkedin.com/in/guillermo-bruchmann-4a3b9713b/ | https://www.linkedin.com/in/nicol%C3%A1s-ferrer-6b1527117/ | https://www.linkedin.com/in/agustin-trombotto-a258b512a/,https://www.ycombinator.com/companies/filadd
,WINTER 2021,,2020,60,"Santiago, Santiago Metropolitan Region, Chile",Account-to-Account payments in Mexico and Chile.,,"DEVELOPER TOOLS, FINTECH, SAAS, PAYMENTS",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/fintoc,https://twitter.com/cgriffero,https://www.crunchbase.com/organization/fintoc,https://github.com/fintoc-com,,https://www.linkedin.com/in/griffero/ | https://linkedin.com/in/lezorich/,https://www.ycombinator.com/companies/fintoc
,SUMMER 2018,,2018,100,"Santiago, Santiago Metropolitan Region, Chile",Wealth manager,,FINTECH,https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/fintual,https://twitter.com/agustinf,https://www.crunchbase.com/organization/fintual,,,https://www.linkedin.com/in/pedro-pineda-42066923/fi | https://www.linkedin.com/in/agustinfeuerhake/ | https://cl.linkedin.com/in/olarre/en,https://www.ycombinator.com/companies/fintual
,WINTER 2021,,2017,60,"Barranquilla, Atlantico, Colombia",The one-stop shop for healthy products,,"GROCERY, E-COMMERCE",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/fithub-colombia/,https://twitter.com/jabibchar,,,,https://www.linkedin.com/in/jabib-char-2a4a868a/ | https://www.linkedin.com/in/cristina-char/ | https://www.linkedin.com/in/afiriarteh | https://www.linkedin.com/in/alex-ramirez-6724b9129,https://www.ycombinator.com/companies/fithub-2
,WINTER 2018,,2017,,"Mexico City, CDMX, Mexico",Mexico's digital wallet,,"FINTECH, CONSUMER, LATIN AMERICA",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,,https://twitter.com/tiagosada,https://www.crunchbase.com/organization/flint-5762,,,https://www.linkedin.com/in/santiagosada | https://www.linkedin.com/in/cesrabiella/ | https://www.linkedin.com/in/alonso-garcia-molina-962a56150/,https://www.ycombinator.com/companies/flinto
,SUMMER 2021,,2018,26,"São Carlos, SP, Brazil",fluke is a full-digital mobile operator in Brazil,,"B2B, TELECOMMUNICATIONS",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/flukeoperadora,https://twitter.com/ycombinator,,,,https://www.linkedin.com/in/marcos-ant%C3%B4nio-oliveira-jr-3a0526137/ | https://www.linkedin.com/in/augusto-pinheiro-173896114/,https://www.ycombinator.com/companies/fluke
,SUMMER 2019,,2018,9,"Mexico City, CDMX, Mexico",Flux is building the payment network for alternative payments in…,,"FINTECH, PAYMENTS",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/paywithflux,http://paywithflux.com/,https://www.crunchbase.com/organization/flux-3dc6,,,https://www.linkedin.com/in/maximilianoe | https://www.linkedin.com/in/fdelatorre/,https://www.ycombinator.com/companies/flux
,WINTER 2020,,2018,160,"Mexico City, CDMX, Mexico",We are connecting every single Mexican to the financial system.,,"FINTECH, CONSUMER FINANCE",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/fondeadora/,https://twitter.com/Fondeadora,https://www.crunchbase.com/organization/fondeadora,https://github.com/Fondeadora,,https://www.linkedin.com/in/norman-m%C3%BCller-6b93a857/ | https://mx.linkedin.com/in/serranorene,https://www.ycombinator.com/companies/fondeadora
,WINTER 2019,,2018,384,"São Paulo, State of São Paulo, Brazil",The everything store for restaurants in LATAM.,,"FINTECH, B2B, LOGISTICS",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/25018340/admin/,https://twitter.com/ycombinator,https://www.crunchbase.com/organization/frubana,https://github.com/Frubana,,https://www.linkedin.com/in/fegomezgutierrez/,https://www.ycombinator.com/companies/frubana-inc
,WINTER 2020,,,115,"Mexico City, CDMX, Mexico",Digitizing dentistry in LatAm,,"HEALTH TECH, LATIN AMERICA",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,,https://twitter.com/ycombinator,,,,https://www.linkedin.com/in/tommasotomba | https://www.linkedin.com/in/leonardo-miron/,https://www.ycombinator.com/companies/futura
,SUMMER 2013,,2011,2,"Rio de Janeiro, State of Rio de Janeiro, Brazil",Amazon Marketplace for Latin America,,"MARKETPLACE, E-COMMERCE",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/glio/,https://twitter.com/joaopdepaula,https://www.crunchbase.com/organization/glio,,,https://www.linkedin.com/in/rriccio/ | https://linkedin.com/in/joaopdepaula/,https://www.ycombinator.com/companies/glio
,SUMMER 2021,,2019,33,"Mexico City, CDMX, Mexico","At-home spa, beauty & grooming services marketplace for LatAm",,"MARKETPLACE, BEAUTY, HEALTH & WELLNESS",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/glitzimx/,https://twitter.com/Anahirch?s=08,https://www.crunchbase.com/organization/glitzi,,,https://www.linkedin.com/in/ana-ramos-b2681a32/ | https://www.linkedin.com/in/luis-enrique-vazquez-escobar-35230464/,https://www.ycombinator.com/companies/glitzi
,WINTER 2022,,2020,140,"Lima, Peru",One-stop-shop for Real Estate Solutions.,,"FINTECH, MACHINE LEARNING, PROPTECH",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/gojom/,https://twitter.com/ycombinator,https://www.crunchbase.com/organization/casas360,,,https://linkedin.com/in/andr%C3%A9s-gonz%C3%A1lez-olaechea-837736b4 | https://www.linkedin.com/in/horacio-faudella/ | https://www.linkedin.com/in/willywg/,https://www.ycombinator.com/companies/gojom
,WINTER 2021,,2020,6,"São Paulo, State of São Paulo, Brazil",Wholesale marketplace for independent retailers buy & manage inventory,,MARKETPLACE,https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/gonddo,https://twitter.com/cruzguilherm,https://www.crunchbase.com/organization/gonddo,https://github.com/gonddo,,https://linkedin.com/in/rodrigo-cruz-05814a81 | https://www.linkedin.com/in/cruzguilherme | https://www.linkedin.com/in/brunorpassos/,https://www.ycombinator.com/companies/gonddo
,SUMMER 2018,,,300,"Mexico City, CDMX, Mexico",Mobility and payments platform for Latin America,,"PAYMENTS, LATIN AMERICA, MOBILITY",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,,http://www.x.com/romotif,https://www.crunchbase.com/organization/grin-scooters,,,https://www.linkedin.com/in/sergioromo/ | https://www.linkedin.com/in/jonathanlewy,https://www.ycombinator.com/companies/grin
,WINTER 2020,,2020,12,"Mexico City, CDMX, Mexico",AI-native direct booking infrastructure for global hospitality,,"FINTECH, SAAS, B2B, TRAVEL",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/guruhotel/,https://twitter.com/JosueGio,https://www.crunchbase.com/organization/guruhotel,,,https://www.linkedin.com/in/jorgefloresacevedo/ | https://www.linkedin.com/in/josuegio | https://www.linkedin.com/in/stivenmartinez/,https://www.ycombinator.com/companies/guruhotel
,WINTER 2023,,2022,3,"Mexico City, CDMX, Mexico",Create your AI workforce,,"SAAS, B2B, AI",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/usehelios/,https://twitter.com/ericyanez_,,,,https://www.linkedin.com/in/ericyanezl/,https://www.ycombinator.com/companies/helios
,SUMMER 2020,,2019,100,"Buenos Aires, Argentina",We train AI engineers and connect them with companies.,"Just make them an offer here and start working with them instantaneously.
Watch 2 min video.","AI-ENHANCED LEARNING, B2B, RECRUITING, LATIN AMERICA, TALENT ACQUISITION",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,,https://twitter.com/martinborchardt,https://www.crunchbase.com/organization/henry-18a0,,,https://www.linkedin.com/in/martin-borchardt/ | https://www.linkedin.com/in/mbarnaferres/ | https://www.linkedin.com/in/luzborchardt/ | https://www.linkedin.com/in/leonardomaglia/,https://www.ycombinator.com/companies/henry
,WINTER 2020,,2019,22,"Recife - Paratibe, Recife - State of Pernambuco, Brazil",Hent is helping land lot developers to better manage their sales…,,"FINTECH, PROPTECH",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/aluguecomhent/,https://twitter.com/dinizz,,,,https://www.linkedin.com/in/davidaragao1/ | https://www.linkedin.com/in/thiagodiniz/ | https://www.linkedin.com/in/leo-pinho-5a3a5328/,https://www.ycombinator.com/companies/hent
,SUMMER 2019,,2020,53,"Mexico City, CDMX, Mexico",Tax Automation Infrastructure,,"FINTECH, LATIN AMERICA",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/somosheru/,https://twitter.com/StivenRodz_,https://www.crunchbase.com/organization/heru,,,https://www.linkedin.com/in/stiven-rodr%C3%ADguez-s%C3%A1nchez-b65958101/,https://www.ycombinator.com/companies/heru
,WINTER 2022,,2021,5,"Bogotá, Bogota, Colombia",The Operating System of the construction industry,,"SAAS, CONSTRUCTION",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/hippo-build,https://twitter.com/MadsTrundte,https://www.crunchbase.com/organization/hippobuild,,,https://www.linkedin.com/in/madsschmidtpetersen/,https://www.ycombinator.com/companies/hippobuild
,WINTER 2017,,2015,746,"Bogotá, Bogota, Colombia",Hogaru is a tech-enabled home services platform in Latin America.,,"MARKETPLACE, HOME SERVICES",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/hogarucol/,https://twitter.com/hogarucol?lang=es,https://www.crunchbase.com/organization/hogaru,,,https://www.linkedin.com/in/gonzalo-ucar-rodriguez,https://www.ycombinator.com/companies/hogaru
,WINTER 2021,,2020,3,"São Paulo, State of São Paulo, Brazil",Code review for DevOps tasks,,"DEVELOPER TOOLS, DEVSECOPS",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/hoopdev,https://twitter.com/andriosrobert,,https://github.com/runopsio,,https://www.linkedin.com/in/andrios/,https://www.ycombinator.com/companies/hoop-dev
,WINTER 2021,,2018,400,"Santiago, Santiago Metropolitan Region, Chile",All-in-one real estate marketplace for Latin America,,"MARKETPLACE, PROPTECH",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/33268314/admin/,https://twitter.com/ycombinator,https://www.crunchbase.com/organization/arriendoasegurado-com,,,https://www.linkedin.com/in/benjam%C3%ADn-labra-72203520/ | https://www.linkedin.com/in/nicolasknockaert/,https://www.ycombinator.com/companies/houm
,SUMMER 2021,,2014,34,"Santiago, Santiago Metropolitan Region, Chile",Helping farmers maximize crop yield,Instacrops is a full stack platform that integrates and packages a set of technologies and services for giving real time recommendations for farmers using ML and AI.,"SUSTAINABILITY, AGRICULTURE",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/instacrops,https://twitter.com/instacrops,https://www.crunchbase.com/organization/instacrops,,,https://www.linkedin.com/in/mario-andr%C3%A9s-bustamante-bernucci-36a79030/,https://www.ycombinator.com/companies/instacrops
,SUMMER 2020,,2019,190,"Providencia, Santiago Metropolitan Region, Chile",Helps restaurants take online orders directly from customers,,"SAAS, DELIVERY, E-COMMERCE",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/getjusto,https://twitter.com/nicolaslopezj,https://www.crunchbase.com/organization/get-justo,https://github.com/getjusto,,https://www.linkedin.com/in/nicolaslopezj/ | https://www.linkedin.com/in/rodrigosegal/,https://www.ycombinator.com/companies/justo
,WINTER 2022,,2020,500,"Mexico City, CDMX, Mexico",Data driven neobank for SMBs in LATAM,,"FINTECH, SAAS, PAYMENTS, B2B, NEOBANK",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/kapital-mx/,https://twitter.com/KapitalMexico,https://www.crunchbase.com/organization/kapital-smartbank/company_financials,https://github.com/KapitalTrading,,https://www.linkedin.com/in/rene-saul-5044aa25/ | https://www.linkedin.com/in/eder-echeverria-3246141a7 | https://www.linkedin.com/in/fernando-sandoval-oseguera-/,https://www.ycombinator.com/companies/kapital-bank
,SUMMER 2022,,2020,45,"Lima, Peru",Credit for the emerging economy in Latam,"Hi everyone, we are Kashin, and our goal is to give access to financial products - not just bank accounts - to the informal economy in Latin America.",FINTECH,https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/68777723,https://twitter.com/CRobilliard,https://www.crunchbase.com/organization/kashin,,"Hi everyone, we are Kashin, and our goal is to give access to financial products - not just bank accounts - to the informal economy in Latin America.",https://www.linkedin.com/in/chrobilliard/ | https://www.linkedin.com/in/thetex/,https://www.ycombinator.com/companies/kashin
,WINTER 2019,,2019,15,"Lima, Peru",E-signatures with identity verification for Latin America,,LEGALTECH,https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/keynua/,https://twitter.com/molguinj,https://www.crunchbase.com/organization/keynua,,,https://www.linkedin.com/in/alfredo-granda-02a95992/ | https://www.linkedin.com/in/manuel-olguin-82a352/ | https://www.linkedin.com/in/luis-alban-90a09ab6,https://www.ycombinator.com/companies/keynua
,WINTER 2021,,2020,200,"Balneário Camboriú - State of Santa Catarina, Brazil",Create & sell online courses,,ELEARNING,https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/kiwify/,https://twitter.com/ycombinator,,,,https://www.linkedin.com/in/artur-ribas-01b104157/ | https://www.linkedin.com/in/marinho-gomes/,https://www.ycombinator.com/companies/kiwify
,SUMMER 2021,,2020,7,"Monterrey, Nuevo Leon, Mexico",,,"CONSUMER HEALTH SERVICES, DIGITAL HEALTH, HEALTH & WELLNESS",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/koddacom,https://twitter.com/MikeAlvaradoL,,,,https://www.linkedin.com/in/emilio-antun-598b68136/ | https://www.linkedin.com/in/mikealvaradol/,https://www.ycombinator.com/companies/kodda
,SUMMER 2021,,2019,35,"Monterrey, Nuevo Leon, Mexico",Turbotax for México and LATAM,,"ARTIFICIAL INTELLIGENCE, FINTECH, SAAS",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/78438058/,https://twitter.com/ycombinator,https://www.crunchbase.com/organization/buho-contable,,,https://www.linkedin.com/in/jose-antonio-menendez-80a872102/ | https://www.linkedin.com/in/pablo-icaza/,https://www.ycombinator.com/companies/konta-com
,WINTER 2019,,2018,890,"São Paulo, State of São Paulo, Brazil","Making car ownership more inclusive, flexible and simple.",,"AUTO COMMERCE, MOBILITY",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/kovi,https://twitter.com/ycombinator,https://www.crunchbase.com/organization/kovi,https://github.com/kovihq,,https://www.linkedin.com/in/adhemarmilanineto/,https://www.ycombinator.com/companies/kovi
Who is building this?,WINTER 2023,,2022,7,"Miami, FL, USA",Crypto On and Off Ramp for Latam,"TL;DR: Koywe provides simple, well-documented, and fully compliant payment APIs and SDKs so that any developer can instantly start leveraging crypto to offer services like remittances, USD wallets, and investments.","FINTECH, CRYPTO / WEB3, PAYMENTS",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://linkedin.com/company/koywe,https://twitter.com/Ignaciodetmer,https://www.crunchbase.com/organization/koywe,https://github.com/koyweforest,"Good morning, buenos días, bom dia!",http://linkedin.com/in/ignaciodetmer | https://www.linkedin.com/in/gjacuna/ | https://www.linkedin.com/in/ignaciodetmer/,https://www.ycombinator.com/companies/koywe
,WINTER 2021,,2020,66,"Monterrey, Nuevo Leon, Mexico",Rocket Mortgage for LatAm.,,"FINTECH, LATIN AMERICA, LENDING",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/kredimx/,https://twitter.com/Hernanbelden1,https://news.crunchbase.com/news/exclusive-kredi-brings-in-3-1m-seed-to-be-the-rocket-mortgage-of-latin-america/?utm_source=twitter&utm_medium=website&utm_campaign=SocialSnap,,,https://www.linkedin.com/in/javier-aldape-359706110/ | https://www.linkedin.com/in/hern%C3%A1n-belden-de-la-garza-0a9082159/ | https://www.linkedin.com/in/jcmalpizar/ | https://www.linkedin.com/in/fernando-nader-giacoman-133525102/,https://www.ycombinator.com/companies/kredi
,SUMMER 2021,,2019,10,"Lima, Peru",Cohort-based online courses for professionals in Latin America,,"ELEARNING, LATIN AMERICA",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,,https://twitter.com/carloslauv,https://www.crunchbase.com/organization/kurios-technologies,,,https://www.linkedin.com/in/carloslauv/ | https://www.linkedin.com/in/lubillas/,https://www.ycombinator.com/companies/kurios
,SUMMER 2019,,2018,500,"Bogotá, Bogota, Colombia",Online pets supplies for Latin America with over 4000 products & 20…,,MARKETPLACE,https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/33183617,https://twitter.com/ycombinator,https://www.crunchbase.com/organization/laika,,,https://www.linkedin.com/in/tulio-jimenez-p-4a83b038 | https://www.linkedin.com/in/manuela-sanchez/ | https://www.linkedin.com/in/camilo-sanchez-villamarin,https://www.ycombinator.com/companies/laika
,SUMMER 2021,,2018,135,"Monterrey, Nuevo Leon, Mexico",Lattice for Latam with personalized learning and development,,"EDUCATION, SAAS, B2B",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/lapzomx,https://twitter.com/ycombinator,https://www.crunchbase.com/organization/lernit,,,https://www.linkedin.com/in/smaldonadog/,https://www.ycombinator.com/companies/lapzo
,WINTER 2022,,2021,18,"Santiago, Santiago Metropolitan Region, Chile",The next-gen lending platform for the banking system in LATAM.,,"FINTECH, B2B",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/lenk-tech,https://twitter.com/ycombinator,,,,https://ar.linkedin.com/in/guido-galanter-61771593 | https://www.linkedin.com/in/tomasgropper | https://www.linkedin.com/in/nicol%C3%A1s-piqueras-38404226/,https://www.ycombinator.com/companies/lenk
,SUMMER 2021,,2020,6,"Mexico City, CDMX, Mexico",Treasury management platform for SMBs to optimize idle cash in Latam,,"FINTECH, B2B, INVESTING",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/levomx,https://x.com/MergenthalerMax,,,,https://www.linkedin.com/in/salvador-rivero-3031182b/ | https://www.linkedin.com/in/mergenthaler/,https://www.ycombinator.com/companies/levo
,WINTER 2022,,2020,18,"São Paulo, State of São Paulo, Brazil",LLM for Legal in Brazil,,"MACHINE LEARNING, LEGALTECH",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/lexter-ai,https://twitter.com/guilhermedelai,https://www.crunchbase.com/organization/lexter-ai,,,https://www.linkedin.com/in/pedrojahara/ | https://www.linkedin.com/in/pedrocalderon/ | https://www.linkedin.com/in/guilherme-delai/ | https://www.linkedin.com/in/lucaskawazoi/,https://www.ycombinator.com/companies/lexter-ai
,WINTER 2020,,2018,21,"São Paulo, State of São Paulo, Brazil",The leading SRM platform for LatAm,,"SAAS, B2B, ENTERPRISE",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/linkana,https://x.com/cirdesh,https://www.crunchbase.com/organization/linkana,,,https://www.linkedin.com/in/cirdesh/ | https://www.linkedin.com/in/leoazca,https://www.ycombinator.com/companies/linkana
,WINTER 2023,,2021,37,"Bogotá, Bogota, Colombia",Dollar banking for people in Latin America,"This is Luis, Camilo, Chris and Ivan from Colombia 🇨🇴. We are happy to share that Littio is live!

🚀 Littio is a dollar bank tailored made for people in Latin America to fight devaluation.","FINTECH, CRYPTO / WEB3",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/littio-co/,https://twitter.com/lehuertas,https://www.crunchbase.com/organization/littio-08b1,,,https://www.linkedin.com/in/christian-knudsen-daccach-51915397/ | https://www.linkedin.com/in/luiseduardohuertas/ | https://www.linkedin.com/in/ivantorroledo/,https://www.ycombinator.com/companies/littio
,SUMMER 2016,,2016,45,"Guadalajara, Jalisco, Mexico",Livement makes selling tickets for events easy and safe for organizers,,"SPORTS TECH, TICKETING",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,,https://twitter.com/boletomovil,https://www.crunchbase.com/organization/livement,,,https://www.linkedin.com/in/wgdomenzain | https://www.linkedin.com/in/robertoreym,https://www.ycombinator.com/companies/livement
,WINTER 2022,,2024,7,"Guadalajara, Jalisco, Mexico",AI-assitant for managing creator-brand partnerships,,"MARKETPLACE, SAAS, E-COMMERCE",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/lizzapp,https://twitter.com/ycombinator,https://www.crunchbase.com/organization/melloon,,,https://www.linkedin.com/in/julian-may/,https://www.ycombinator.com/companies/lizza
