startup_name,location_country,sector,funding_date,funding_year,date_precision,amount_usd,amount_is_estimate,investors,stage,debt_equity,female_cofounder_or_ceo,local_founder,intnl_founder,launched,accelerator,employees,source_file,country,region_group
CompariSure,South Africa,AI,1-01-01,2022,full_date,980000.0,False,HAVAÍC and featuring 4Di Capital,Pre-Series A,Equity,No,Yes,No,2017,No,16.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
TallOrder,South Africa,retail-tech,1-01-01,2022,full_date,3100000.0,False,"Investec Private Capital, as well as a consortium led by Africa-focused fintech investment firm Nurture Investment Management.",Series A,Equity,No,Yes,No,2014,No,27.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
The Awareness Company,South Africa,AI,1-02-01,2022,full_date,,False,Microsoft,Undisclosed,Equity,Yes,Yes,No,2018,Yes,7.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
Carscan,South Africa,auto-tech,1-02-01,2022,full_date,1300000.0,False,"Kalon Venture Partners, Launch Africa Ventures, the IDF, Allan Gray E2 Ventures and AlphaCode.",Series A,Equity,No,Yes,No,2019,No,52.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
Excel@Uni,South Africa,ed-tech,1-02-01,2022,full_date,315000.0,False,E Squared,Undisclosed,Equity,No,Yes,No,2018,Yes,51.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
Zindi,South Africa,AI,1-02-01,2022,full_date,1000000.0,False,"Shakti VC, along with Launch Africa Ventures, Founders Factory Africa, and five35",Seed,Equity,Yes,Yes,No,2018,No,56.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
Stitch,South Africa,fintech,1-02-01,2022,full_date,21000000.0,False,"The Spruce House Partnership, with participation from PayPal Ventures, TrueLayer, firstminute capital, The Raba Partnership, CRE Venture Capital, Village Global, Zinal Growth, and others, including founders of Chipper Cash, Quovo and Unit.",Series A,Equity,No,Yes,No,2019,No,42.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
Lipa Payments,South Africa,fintech,1-02-01,2022,full_date,660000.0,False,Imvelo Ventures,Undisclosed,Equity,No,Yes,No,2019,No,9.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
Clickatell,South Africa,e-commerce,1-02-01,2022,full_date,91000000.0,False,"Arrowroot Capital, with participation from Kennedy Lewis Investment Management, Endeavor Global and Harvest.",Series C,Equity,No,Yes,No,2000,No,331.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
VALR,South Africa,fintech,1-03-01,2022,full_date,50000000.0,False,"Pantera Capital with participation from Alameda Research, Cadenza, CMT Digital, Coinbase Ventures, Distributed Global, GSR, Third Prime and Avon Ventures, along with existing investors Bittrex and 4Di Capital, and others",Series B,Equity,No,Yes,No,2019,No,20.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
Sticitt,South Africa,fintech,1-03-01,2022,full_date,,False,"Nustate Capital Ventures, Grindstone Ventures, Nustate Capital Ventures, Hlayisani Capital, Realm Digital, and GalloProvincialis.",Seed,Equity,No,Yes,No,2018,No,9.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
SmartWage,South Africa,fintech,1-04-01,2022,full_date,2000000.0,False,"LoftyInc Capital Management, Creator Collective Capital, and Penrose Capital, along with angels from Naspers, Dimension Data, Investec, and Standard Bank.",Seed,Equity,Yes,Yes,No,2019,No,25.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
Locstat,South Africa,AI/IoT,1-04-01,2022,full_date,,False,Grindstone Ventures,Undisclosed,Equity,No,Yes,No,2016,Yes,12.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
GoMetro,South Africa,transport,1-05-01,2022,full_date,1000000.0,False,"Kalon Venture Partners, Hlayisani Capital, Tritech Global, 4Decades Capital, and E Squared Investments",Seed,Equity,No,Yes,No,2012,Yes,41.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
Nile,South Africa,agri-tech,1-05-01,2022,full_date,5100000.0,False,"Naspers Foundry, Platform Investment Partners, Raba Capital and Base Capital",Undisclosed,Equity,No,Yes,No,2020,No,10.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
RapidDeploy,South Africa,e-health,1-05-01,2022,full_date,,False,"Nedbank, HAVAIC",Undisclosed,Equity,No,Yes,No,2014,No,111.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
Foondamate,South Africa,ed-tech,1-05-01,2022,full_date,2000000.0,False,"LocalGlobe, Emerge Education, Odunayo Eweniyi via FirstCheckAfrica, Iyin Aboyeji via Future Africa, and LoftyInc, alongside angels from Luno (Marcus Swanepoel) and Justworks (Isaac Oates).",Seed,Equity,Yes,Yes,No,2020,No,9.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
TooMuchWifi,South Africa,connectivity,,2022,year_only,1000000.0,False,"BLOC Smart Africa fund, Connectivity Capital, Atreyu Investments, Angel Investors (May), MIC Khulisani Ventures (October)",Undisclosed,Equity,No,Yes,No,2016,No,51.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
Rentoza,South Africa,e-commerce,1-06-01,2022,full_date,1300000.0,False,MIC Khulisani Ventures,Undisclosed,Equity,No,Yes,No,2017,Yes,59.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
Franc,South Africa,fintech,1-06-01,2022,full_date,522000.0,False,4DX Ventures,Seed,Equity,No,Yes,No,2017,Yes,29.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
Yellow,South Africa,fintech,1-06-01,2022,full_date,23000000.0,False,"Lion’s Head Global Partners joining Triple Jump, SunFunder, SIMA and Trine",Undisclosed,Debt,Yes,Yes,No,2018,No,118.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
HealthDart,South Africa,e-health,1-06-01,2022,full_date,125000.0,False,Norrsken,Undisclosed,Equity,No,Yes,No,2020,Yes,10.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
Entersekt,South Africa,fintech,1-06-01,2022,full_date,,False,PAPE Fund 3,Undisclosed,Equity,No,Yes,No,2009,No,193.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
Sava,South Africa,fintech,1-07-01,2022,full_date,1800000.0,False,"Quona Capital, Breega, CRE Ventures, Ingressive Capital, RaliCap, Unicorn Growth Capital and Sherpa Ventures",Pre-Seed,Equity,No,Yes,No,2021,No,10.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
Level Finance,South Africa,fintech,1-07-01,2022,full_date,,False,Aions Creative Technology,Undisclosed,Equity,Yes,Yes,No,2018,Yes,4.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
Green Scooter,South Africa,transport,1-07-01,2022,full_date,,False,Aions Creative Technology,Undisclosed,Equity,No,Yes,No,2016,Yes,12.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
DigsConnect,South Africa,prop-tech,1-07-01,2022,full_date,,False,"Launch Africa Ventures, Goodwater Capital, Five35 Ventures and Delta Ventures",Pre-Series A,Equity,Yes,Yes,No,2018,Yes,13.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
Qwili,South Africa,smartphones,1-07-01,2022,full_date,1200000.0,False,"E4E Africa,  Strat-Tech, Next Chymia, and Untapped Global alongside other funds and angel investors.",Seed,Equity,No,Yes,No,2020,No,12.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
Michanic,South Africa,auto-tech,1-07-01,2022,full_date,400000.0,False,MultiChoice Innovation Fund,Undisclosed,Debt,No,Yes,No,2016,No,11.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
Notto,South Africa,prop-tech,1-07-01,2022,full_date,,False,Ardent Capital,Undisclosed,Equity,No,Yes,No,2020,No,17.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
Skrmiish,South Africa,entertainment,1-08-01,2022,full_date,2500000.0,False,"Launch Africa Ventures, the Blockchain Founders Fund, and Stellar",Seed,Equity,No,Yes,No,2021,No,13.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
DataProphet,South Africa,AI/IoT,1-08-01,2022,full_date,4000000.0,False,Knife Capital,Series A,Equity,No,Yes,No,2014,Yes,51.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
Droppa,South Africa,logistics,1-08-01,2022,full_date,,False,SkyNet,Series A,Equity,No,Yes,No,2016,No,25.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
SodaWorld,South Africa,entertainment,1-08-01,2022,full_date,,False,CVVC,Undisclosed,Equity,No,Yes,No,2022,Yes,1.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
Pixelblue (Homefarm),South Africa,agri-tech,1-08-01,2022,full_date,95000.0,False,CapaciTech,Seed,Equity,No,Yes,No,2016,No,10.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
Hohm Energy,South Africa,energy,1-08-01,2022,full_date,,False,Future Africa,Undisclosed,Equity,No,Yes,No,2019,No,18.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
Tripplo,South Africa,logistics,1-08-01,2022,full_date,,False,Standard Bank,Undisclosed,Equity,No,Yes,No,2019,Yes,13.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
Octiv,South Africa,fitness,1-09-01,2022,full_date,,False,"Knife Capital, angel investment from an executive at BVNK.",Series A,Equity,No,Yes,No,2014,No,15.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
BusyMed,South Africa,e-health,1-09-01,2022,full_date,,False,E4E Africa,Undisclosed,Equity,No,Yes,No,2018,No,17.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
Locumbase,South Africa,e-health,1-09-01,2022,full_date,,False,Knife Capital,Undisclosed,Equity,Yes,Yes,No,2016,Yes,13.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
SweepSouth,South Africa,on-demand,1-09-01,2022,full_date,11000000.0,False,"Alitheia IDF, a gender-lens private equity fund, and also includes current investors Naspers Foundry, The Michael and Susan Dell Foundation, and Futuregrowth Asset Management. New investors Endeavor Catalyst, Endeavor’s Harvest Fund II, Caruso Ventures, and E4E Africa",Undisclosed,Equity,Yes,Yes,No,2014,Yes,269.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
PropSource,South Africa,prop-tech,1-09-01,2022,full_date,,False,,Undisclosed,Equity,No,Yes,No,2021,No,7.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
Lemon,South Africa,e-commerce,1-09-01,2022,full_date,50000.0,False,The Baobab Network,Undisclosed,Equity,No,Yes,No,2021,Yes,3.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
Local Knowledge,South Africa,tourism,1-09-01,2022,full_date,50000.0,False,The Baobab Network,Undisclosed,Equity,No,Yes,No,2018,Yes,6.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
iDENTIFii,South Africa,digital identity,1-09-01,2022,full_date,15000000.0,False,"Arise, Sanari Capital and veteran US tech entrepreneur Bill Spruill.",Undisclosed,Equity,No,Yes,No,2018,No,22.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
Drive to Own,South Africa,logistics,1-09-01,2022,full_date,,False,Mobility 54,Undisclosed,Equity,No,Yes,No,2017,Yes,1.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
Livestock Wealth,South Africa,agri-tech,1-10-01,2022,full_date,550000.0,False,Mineworkers Investment Company (MIC),Undisclosed,Equity,No,Yes,No,2015,No,21.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
Talk360,South Africa,communication,1-10-01,2022,full_date,7000000.0,False,"Allan Gray E2 Ventures (AGEV), Kalon Venture Partners, E4E Africa, Endeavor, existing lead investor HAVAÍC and the co-founders of TymeBank, Tjaart van der Walt and Coenraad Jonker.",Seed,Equity,No,Yes,Yes,2016,No,56.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
Strove,South Africa,e-health,1-10-01,2022,full_date,,False,Lifetime Ventures,Undisclosed,Equity,No,Yes,No,2020,Yes,20.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
Omnisient,South Africa,privacy,1-10-01,2022,full_date,,False,,Undisclosed,Equity,No,Yes,No,2019,Yes,31.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
Conservation Club,South Africa,prop-tech,1-10-01,2022,full_date,,False,Angel investor,Undisclosed,Equity,Yes,Yes,No,2020,No,9.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
Bookt,South Africa,ed-tech,1-10-01,2022,full_date,,False,Jozi Angels,Undisclosed,Equity,No,Yes,No,2020,No,12.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
Contro,South Africa,e-health,1-11-01,2022,full_date,585000.0,False,"Plug & Play, iCubed Capital, WZ Capital and the Jozi Angels Network",Pre-Seed,Equity,No,Yes,No,2021,No,7.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
Revio,South Africa,fintech,1-11-01,2022,full_date,1100000.0,False,"SpeedInvest and joined by RaliCap Ventures, The Fund, and Two Culture Capital. Several angel investors also participated, including payment and revenue recovery experts from Sequoia Capital, Quona Capital, and Circle Payments.",Seed,Equity,No,Yes,No,2019,Yes,10.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
LIQID Medical,South Africa,e-health,1-11-01,2022,full_date,1750000.0,False,SAB Foundation,Undisclosed,Equity,No,Yes,No,2016,No,5.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
Yaga,South Africa,e-commerce,1-11-01,2022,full_date,2300000.0,False,"Startup Wise Guys, Trind Ventures, Specialist VC, Rubylight, Angel Investors",Undisclosed,Equity,Yes,Yes,No,2019,No,17.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
Synatic,South Africa,data automation,1-12-01,2022,full_date,2500000.0,False,"Allan Gray E-Squared Ventures and UW Ventures. Also participating are Adansonia PE Opportunities VCC, and the Endeavor Harvest Fund.",Seed,Equity,No,Yes,No,2017,No,33.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
Ukheshe,South Africa,fintech,1-12-01,2022,full_date,,False,"ADP III, a fund advised by Development Partners International (DPI), a premier, Africa-focused investment firm, alongside funds advised by Fireball Capital, a leading South African venture capital firm.",Undisclosed,Equity,No,Yes,No,2018,Yes,67.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
Bettr,South Africa,fintech,1-12-01,2022,full_date,,False,"CRE Venture Capital, Collab2, Gauss VC, Beryl Holdings, Reap Ventures, EchoVC Partners, R-Ventures, Uncovered Fund, Still Capital",Undisclosed,Equity,Yes,Yes,No,2015,No,10.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
Intellinexus,South Africa,AI/IoT,1-12-01,2022,full_date,,False,CodiumX,Undisclosed,Equity,No,Yes,No,2016,No,29.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
Centbee,South Africa,fintech,1-12-01,2022,full_date,,False,Ayre Ventures,Pre-Series A,Equity,No,Yes,No,2017,No,6.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
AURA,South Africa,security,,2022,year_only,,False,HAVAIC,Undisclosed,Equity,No,Yes,No,2017,No,64.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
RecoMed,South Africa,e-health,,2022,year_only,,False,HAVAIC,Undisclosed,Equity,No,Yes,No,2013,No,34.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
HomecomingEX,South Africa,on-demand,,2022,year_only,,False,"Launch Africa Ventures, First Circle",Undisclosed,Equity,Yes,Yes,No,2021,No,12.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
Happy Pay,South Africa,fintech,,2022,year_only,,False,Launch Africa Ventures,Undisclosed,Equity,Yes,Yes,No,2021,No,9.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
Impulse Biomedical,South Africa,e-health,,2022,year_only,,False,Launch Africa,Undisclosed,Equity,No,Yes,No,2017,No,10.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
Kepler,South Africa,ed-tech,,2022,year_only,,False,Launch Africa,Undisclosed,Equity,No,Yes,No,2015,No,12.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
Sens,South Africa,AI/IoT,,2022,year_only,,False,Launch Africa,Undisclosed,Equity,Yes,Yes,No,2021,No,3.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
Jem,South Africa,recruitment & HR,,2022,year_only,,False,Launch Africa,Undisclosed,Equity,Yes,Yes,No,2020,No,36.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
Ollie,South Africa,e-health,,2022,year_only,,False,Launch Africa,Undisclosed,Equity,No,Yes,No,2020,No,9.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
Riskbloq,South Africa,fintech,,2022,year_only,,False,Founders Factory Africa,Pre-Seed,Equity,No,Yes,No,2022,Yes,3.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
EM Guidance,South Africa,e-health,,2022,year_only,,False,Founders Factory Africa,Seed,Equity,No,Yes,No,2016,Yes,39.0,Funded_African_tech_startups_2022.xlsx,South Africa,Africa
InstaDeep,Tunisia,AI,1-01-01,2022,full_date,100000000.0,False,"Alpha Intelligence Capital together with CDIB. Other investors in the round include BioNTech, Chimera Abu Dhabi, Deutsche Bahn’s DB Digital Ventures, Google, G42 and Synergie.",Series B,Equity,No,Yes,No,2014,No,172.0,Funded_African_tech_startups_2022.xlsx,Tunisia,Africa
Avidea,Tunisia,fintech,1-02-01,2022,full_date,696000.0,False,"Capsa Capital Partners, one of Tunisia’s largest private equity firms, and the specialist investment vehicle 216 CAPITAL FUND I, which is managed by 216 CAPITAL ADVENTURES.",Pre-Seed,Equity,No,Yes,No,2017,No,8.0,Funded_African_tech_startups_2022.xlsx,Tunisia,Africa
Freterium,Tunisia,transport,1-02-01,2022,full_date,4000000.0,False,"Partech Africa, Y Combinator, Flexport, CDG, Swiss Founders Fund, Outlierz Ventures, and Angel investors",Seed,Equity,No,Yes,No,2018,Yes,31.0,Funded_African_tech_startups_2022.xlsx,Tunisia,Africa
WattNow,Tunisia,energy,1-03-01,2022,full_date,1300000.0,False,"Katapult Climate, a Norwegian climate impact fund, and local VC firm 216 Capital. It also features Launch Africa Ventures, Cross Boundary, and the Oman Technology Fund, the latter of which is a previous investor in Wattnow alongside the likes of Flat6Labs and Kepple Africa Ventures.",Pre-Series A,Equity,No,Yes,No,2018,Yes,19.0,Funded_African_tech_startups_2022.xlsx,Tunisia,Africa
GoMyCode,Tunisia,ed-tech,1-06-01,2022,full_date,8000000.0,False,"AfricInvest, through its Cathay AfricInvest Innovation Fund (CAIF) and French-based development finance institution Proparco, Wamda Capital",Series A,Equity,No,Yes,No,2017,No,593.0,Funded_African_tech_startups_2022.xlsx,Tunisia,Africa
Save Your Wardrobe,Tunisia,e-commerce,1-06-01,2022,full_date,3000000.0,False,,Undisclosed,Equity,Yes,Yes,Yes,2022,Yes,31.0,Funded_African_tech_startups_2022.xlsx,Tunisia,Africa
Paymee,Tunisia,fintech,1-07-01,2022,full_date,,False,P1 Ventures,Undisclosed,Equity,No,Yes,No,2020,No,12.0,Funded_African_tech_startups_2022.xlsx,Tunisia,Africa
Beekeeper,Tunisia,agri-tech,1-11-01,2022,full_date,640000.0,False,"216 Capital Ventures, with participation from business angels including Ibrahim Al-Rashid, co-founder of Saudi Arabia-based Resorts Holding, and Bridging Angels. Dammam BioTech Valley, Startup Tunisia, TAQADAM and OQAL Angel Investors Network, have also provided investment, grants, and mentoring.",Seed,Equity,No,Yes,No,2020,No,2.0,Funded_African_tech_startups_2022.xlsx,Tunisia,Africa
Kinko,Tunisia,travel,1-12-01,2022,full_date,65000.0,False,Flat6Labs,Undisclosed,Equity,No,Yes,No,2020,Yes,8.0,Funded_African_tech_startups_2022.xlsx,Tunisia,Africa
Bqube Its,Tunisia,AI/IoT,1-12-01,2022,full_date,65000.0,False,Flat6Labs,Undisclosed,Equity,No,Yes,No,2017,Yes,9.0,Funded_African_tech_startups_2022.xlsx,Tunisia,Africa
Insight+,Tunisia,fintech,1-12-01,2022,full_date,65000.0,False,Flat6Labs,Undisclosed,Equity,No,Yes,No,2019,Yes,1.0,Funded_African_tech_startups_2022.xlsx,Tunisia,Africa
Bako Motors,Tunisia,transport,1-12-01,2022,full_date,65000.0,False,Flat6Labs,Undisclosed,Equity,No,Yes,No,2021,Yes,17.0,Funded_African_tech_startups_2022.xlsx,Tunisia,Africa
Datasphera,Tunisia,Marketing,1-12-01,2022,full_date,65000.0,False,Flat6Labs,Undisclosed,Equity,No,Yes,No,2020,Yes,6.0,Funded_African_tech_startups_2022.xlsx,Tunisia,Africa
True Delta,Tunisia,fintech,1-12-01,2022,full_date,65000.0,False,Flat6Labs,Undisclosed,Equity,Yes,Yes,No,2021,Yes,3.0,Funded_African_tech_startups_2022.xlsx,Tunisia,Africa
Hackup,Tunisia,recruitment,1-12-01,2022,full_date,65000.0,False,Flat6Labs,Undisclosed,Equity,No,Yes,No,2021,Yes,8.0,Funded_African_tech_startups_2022.xlsx,Tunisia,Africa
WaterSec,Tunisia,energy,1-12-01,2022,full_date,65000.0,False,Flat6Labs,Undisclosed,Equity,Yes,Yes,No,2021,Yes,6.0,Funded_African_tech_startups_2022.xlsx,Tunisia,Africa
PosLik,Tunisia,restaurant management,,2022,year_only,65000.0,False,Flat6Labs,Undisclosed,Equity,No,Yes,No,2019,Yes,2.0,Funded_African_tech_startups_2022.xlsx,Tunisia,Africa
Finbudd,Tunisia,ed-tech,,2022,year_only,65000.0,False,Flat6Labs,Undisclosed,Equity,Yes,Yes,No,2021,Yes,4.0,Funded_African_tech_startups_2022.xlsx,Tunisia,Africa
Konnect,Tunisia,fintech,,2022,year_only,65000.0,False,Flat6Labs,Undisclosed,Equity,No,Yes,No,2021,Yes,5.0,Funded_African_tech_startups_2022.xlsx,Tunisia,Africa
Kamioun,Tunisia,retail-tech,,2022,year_only,65000.0,False,Flat6Labs,Undisclosed,Equity,No,Yes,No,2020,Yes,12.0,Funded_African_tech_startups_2022.xlsx,Tunisia,Africa
MyMall,Tunisia,e-commerce,,2022,year_only,65000.0,False,Flat6Labs,Undisclosed,Equity,Yes,Yes,No,2020,Yes,3.0,Funded_African_tech_startups_2022.xlsx,Tunisia,Africa
Fenix,Tunisia,retail-tech,,2022,year_only,65000.0,False,Flat6Labs,Undisclosed,Equity,No,Yes,No,2020,Yes,13.0,Funded_African_tech_startups_2022.xlsx,Tunisia,Africa
Evadam,Tunisia,fintech,,2022,year_only,65000.0,False,Flat6Labs,Undisclosed,Equity,No,Yes,No,2021,Yes,5.0,Funded_African_tech_startups_2022.xlsx,Tunisia,Africa
Slidzo,Tunisia,online presentations,,2022,year_only,65000.0,False,Flat6Labs,Undisclosed,Equity,No,Yes,No,2021,Yes,2.0,Funded_African_tech_startups_2022.xlsx,Tunisia,Africa
Ijeni,Tunisia,recruitment,,2022,year_only,65000.0,False,Flat6Labs,Undisclosed,Equity,No,Yes,No,2019,Yes,9.0,Funded_African_tech_startups_2022.xlsx,Tunisia,Africa
Birdhouce,Tunisia,interior design,,2022,year_only,65000.0,False,Flat6Labs,Undisclosed,Equity,No,Yes,No,2021,Yes,1.0,Funded_African_tech_startups_2022.xlsx,Tunisia,Africa
Yaz,Tunisia,logistics,,2022,year_only,65000.0,False,Flat6Labs,Undisclosed,Equity,No,Yes,No,2021,Yes,1.0,Funded_African_tech_startups_2022.xlsx,Tunisia,Africa
Tik Tak Pro,Tunisia,marketing,,2022,year_only,65000.0,False,Flat6Labs,Undisclosed,Equity,No,Yes,No,2021,Yes,10.0,Funded_African_tech_startups_2022.xlsx,Tunisia,Africa
Charu,Morocco,retail-tech,1-01-01,2022,full_date,,False,"Khwarizmi Ventures, AirAngels (Airbnb Alumni Investors), and Afri Mobility",Pre-Series A,Equity,Yes,Yes,No,2020,Yes,16.0,Funded_African_tech_startups_2022.xlsx,Morocco,Africa
WafR,Morocco,e-commerce,,2022,year_only,1567000.0,False,"Launch Africa Ventures, First Circle Capital, WeLoveBuzz and other business angels (April), First Circle Capital (November)",Seed,Equity,No,Yes,No,2021,No,9.0,Funded_African_tech_startups_2022.xlsx,Morocco,Africa
Chari,Morocco,retail-tech,,2022,year_only,1000000.0,False,"Village Capital (February), Endeavor Catalyst (October)",Series A,Equity,Yes,Yes,No,2020,Yes,58.0,Funded_African_tech_startups_2022.xlsx,Morocco,Africa
Guichet,Morocco,e-commerce,1-03-01,2022,full_date,309000.0,False,212 Founders,Undisclosed,Equity,No,Yes,No,2019,Yes,9.0,Funded_African_tech_startups_2022.xlsx,Morocco,Africa
Nessiam,Morocco,e-commerce,1-04-01,2022,full_date,306000.0,False,212 Founders,Undisclosed,Equity,No,Yes,No,2021,Yes,2.0,Funded_African_tech_startups_2022.xlsx,Morocco,Africa
BlinkPharma,Morocco,e-health,1-05-01,2022,full_date,,False,Azur Innovation Fund,Undisclosed,Equity,No,Yes,No,2020,No,8.0,Funded_African_tech_startups_2022.xlsx,Morocco,Africa
CloudFret,Morocco,logistics,1-05-01,2022,full_date,1000000.0,False,"Plug and Play, PRC Ventures ICAV, Azur Innovation Fund, AfriMobi, and business angel Khalid Zitouni",Undisclosed,Equity,No,Yes,No,2021,No,8.0,Funded_African_tech_startups_2022.xlsx,Morocco,Africa
Deepecho,Morocco,e-health,1-05-01,2022,full_date,100000.0,False,UM6P Ventures,Undisclosed,Equity,No,Yes,No,2020,Yes,9.0,Funded_African_tech_startups_2022.xlsx,Morocco,Africa
Jobop,Morocco,recruitment,,2022,year_only,1000000.0,False,"Azur Innovation Fund, with participation from Plug and Play Ventures and business angels",Seed,Equity,No,Yes,No,2021,Yes,4.0,Funded_African_tech_startups_2022.xlsx,Morocco,Africa
Aza Petrolsolutions,Morocco,AI/IoT,1-07-01,2022,full_date,296000.0,False,Maroc Numeric Fund II,Undisclosed,Equity,Yes,Yes,No,2020,No,10.0,Funded_African_tech_startups_2022.xlsx,Morocco,Africa
SmartProf,Morocco,ed-tech,,2022,year_only,160000.0,False,"Mohammed VI Polytechnic University (UM6P) Startgate and Plug and Play (July), Plug and Play, UM6P Ventures and a couple of angel investors. It is also backed by institutions such as l’École Centrale Casablanca and UM6P startup campus Startgate (November)",Pre-Seed,Equity,No,Yes,No,2021,Yes,20.0,Funded_African_tech_startups_2022.xlsx,Morocco,Africa
Spotter,Morocco,fintech,1-11-01,2022,full_date,,False,UM6P Ventures,Undisclosed,Equity,No,Yes,No,2022,Yes,2.0,Funded_African_tech_startups_2022.xlsx,Morocco,Africa
Sand to Green,Morocco,agri-tech,1-11-01,2022,full_date,150000.0,False,Katapult,Undisclosed,Equity,No,Yes,Yes,2021,Yes,6.0,Funded_African_tech_startups_2022.xlsx,Morocco,Africa
Justyol,Morocco,e-commerce,1-12-01,2022,full_date,350000.0,False,Earn Rocket Investment Holding,Pre-Seed,Equity,No,Yes,No,2022,No,8.0,Funded_African_tech_startups_2022.xlsx,Morocco,Africa
Logidoo,Morocco,logistics,,2022,year_only,,False,Launch Africa Ventures,Undisclosed,Equity,No,Yes,No,2019,No,24.0,Funded_African_tech_startups_2022.xlsx,Morocco,Africa
Lnko,Morocco,e-commerce,,2022,year_only,,False,"Launch Africa, Five35",Seed,Equity,Yes,Yes,No,2020,No,20.0,Funded_African_tech_startups_2022.xlsx,Morocco,Africa
Hemicube,Morocco,AI/IoT,,2022,year_only,,False,212 Founders / CDG,Undisclosed,Equity,No,Yes,No,2018,Yes,13.0,Funded_African_tech_startups_2022.xlsx,Morocco,Africa
SLM Impact Finance,Morocco,AI/IoT,,2022,year_only,,False,212 Founders / CDG,Undisclosed,Equity,Yes,Yes,No,2019,Yes,2.0,Funded_African_tech_startups_2022.xlsx,Morocco,Africa
