Sr. No.,Date(dd/mm/yyyy),Startup Name,Industry Vertical,City / Location,Investors’ Name,InvestmentType,Amount (in USD),Remarks,Year,Source_File,Industry/ Vertical,Sub-Vertical,Invest-mentType,Date,Industry/Vertical,City,Investor Name,Investment Type,Amount(in USD),Unnamed: 0,Founding Date,Founders,Investors,Investment Stage,0,1,2,3,4,5,6,7,8
76.0,26/07/2016,Big Deal,,New Delhi,EVC Ventures,,"100,000",,2016,Jul_2016.csv,Consumer Internet,Student Deals Discovery Platform,Seed Funding,,,,,,,,,,,,,,,,,,,,
77.0,27/07/2016,Square Plums,,Bangalore,Indian Angel Network,,"446,000",,2016,Jul_2016.csv,Consumer Internet,Shared Accommodation Discovery platform,Seed Funding,,,,,,,,,,,,,,,,,,,,
78.0,27/07/2016,IStyleyou,,Gurgaon,Rannvijay Singh,,,,2016,Jul_2016.csv,Consumer Internet,Online Fashion Styling & Chat app,Seed Funding,,,,,,,,,,,,,,,,,,,,
79.0,27/07/2016,Mezi,,SFO,"Nexus Venture Partners, Saama Capital, American Express Ventures",,"9,000,000",,2016,Jul_2016.csv,Consumer Internet,AI based personal Shopping Assistant,Private Equity,,,,,,,,,,,,,,,,,,,,
80.0,27/07/2016,Byndr,,Hyderabad,Education Design Studio,,"700,000",,2016,Jul_2016.csv,Consumer Internet,Mobile learning management platform,Seed Funding,,,,,,,,,,,,,,,,,,,,
81.0,28/07/2016,Modasta,,Bangalore,Undisclosed HNIs,,"1,500,000",,2016,Jul_2016.csv,Consumer Internet,Multi-lingual health content portal,Seed Funding,,,,,,,,,,,,,,,,,,,,
82.0,28/07/2016,MaxWholesale,,New Delhi,"Maple Capital Advisors, Abhinav Grover",,"150,000",,2016,Jul_2016.csv,eCommerce,B2B Wholesale Marketplace,Seed Funding,,,,,,,,,,,,,,,,,,,,
83.0,28/07/2016,Neuron,,New Delhi,"Harvinder Singh Bhatia, TLabs Accelerator",,"200,000",,2016,Jul_2016.csv,Technology,Machine Learning Platform,Seed Funding,,,,,,,,,,,,,,,,,,,,
84.0,28/07/2016,Tiyo,,Kolkata,"Anish K, Ajith Nair",,"120,000",,2016,Jul_2016.csv,Consumer Internet,Doctor Discovery & healthcare info platform,Seed Funding,,,,,,,,,,,,,,,,,,,,
85.0,29/07/2016,GoCoop,,Bangalore,"Kris Gopalakrishnan, Saha Fund",,"830,000",,2016,Jul_2016.csv,eCommerce,Social Marketplace for Cooperative Enterprises,Private Equity,,,,,,,,,,,,,,,,,,,,
86.0,29/07/2016,Lemon Leaf,,New Delhi,"Saurabh Sahni, Tushar Gupta",,"133,000",,2016,Jul_2016.csv,Technology,Fresh Fruit and Vegetable Supply Chain Tech Builder,Seed Funding,,,,,,,,,,,,,,,,,,,,
87.0,29/07/2016,Appsay,,Pune,"Shreyans Shah, Mayank Shah",,"150,000",,2016,Jul_2016.csv,Consumer Internet,Customer Engagement Platform,Seed Funding,,,,,,,,,,,,,,,,,,,,
88.0,29/07/2016,Fella Homes,,Gurgaon,Undisclosed investors,,"2,000,000",,2016,Jul_2016.csv,Consumer Internet,Home Rental discovery & Booking platform,Seed Funding,,,,,,,,,,,,,,,,,,,,
89.0,29/07/2016,HelloDhobi,,Pune,Swastika Company Ltd,,,,2016,Jul_2016.csv,Consumer Internet,On-Demand Laundry & Dry cleaning Services,Seed Funding,,,,,,,,,,,,,,,,,,,,
90.0,,,,,,,,,2016,Jul_2016.csv,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2016,Jul_2016.csv,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2016,Jul_2016.csv,,,,,,,,,,,,,,,,,,,,,,,
1.0,01/6/2016,Chikoop,,Indore,Undisclosed Investors,,,,2016,Jun_2016.csv,Consumer Internet,Free Ad based Voice Calling,Seed Funding,,,,,,,,,,,,,,,,,,,,
2.0,01/6/2016,BRIDGEi2I,,Bangalore,Edelweiss Private Equity,,,,2016,Jun_2016.csv,Technology,Data Analytics Platform,Private Equity,,,,,,,,,,,,,,,,,,,,
3.0,02/6/2016,Droom,,New Delhi,"Beenext, Digital Garage, Lightbox, Beenos",,,,2016,Jun_2016.csv,eCommerce,Online marketplace for used automobiles,Private Equity,,,,,,,,,,,,,,,,,,,,
4.0,02/6/2016,Visit,,New Delhi,MapmyIndia,,,,2016,Jun_2016.csv,Consumer Internet,On-Demand Healthcare Service provider,Seed Funding,,,,,,,,,,,,,,,,,,,,
5.0,02/6/2016,Atomberg,,Mumbai,Parampara Capital,,"1,000,000",,2016,Jun_2016.csv,Technology,"smart, energy efficient home appliance manufacturer",Private Equity,,,,,,,,,,,,,,,,,,,,
6.0,02/6/2016,Coutloot,,Mumbai,Venture Catalysts,,,,2016,Jun_2016.csv,eCommerce,Fashion Re-Commerce Platform,Seed Funding,,,,,,,,,,,,,,,,,,,,
7.0,02/6/2016,Limo,,Mumbai,Rainmaker Ventures,,"1,000,000",,2016,Jun_2016.csv,Consumer Internet,Bus Aggregator Mobile app,Private Equity,,,,,,,,,,,,,,,,,,,,
8.0,03/6/2016,iCliniq,,Bangalore,MadhanKumar Madathupalayam,,,,2016,Jun_2016.csv,Consumer Internet,Doctor Consultation platform,Seed Funding,,,,,,,,,,,,,,,,,,,,
9.0,03/6/2016,GoGo Truck,,Chennai,Undisclosed Investor,,"75,000",,2016,Jun_2016.csv,Consumer Internet,Truck Aggregator & Booking platform,Seed Funding,,,,,,,,,,,,,,,,,,,,
10.0,03/6/2016,Vyome Biosciences,,New Delhi,Romulus Capital,,"2,000,000",,2016,Jun_2016.csv,Healthcare,Treatment Development for Antibiotic-resistant diseases,Private Equity,,,,,,,,,,,,,,,,,,,,
11.0,06/6/2016,SillyMonks,,Hyderabad,Sreenivasa Reddy Musani,,"448,000",,2016,Jun_2016.csv,Consumer Internet,Digital Media and Entertainment Startup,Seed Funding,,,,,,,,,,,,,,,,,,,,
12.0,07/06/2016,CueMath,,Bangalore,"Sequoia Capital, Unitus Seed Fund",,"4,000,000",,2016,Jun_2016.csv,Education,K-12 Maths Learning Courses,Private Equity,,,,,,,,,,,,,,,,,,,,
13.0,07/06/2016,KrazyBee,,Bangalore,"Yeahmobi, Fenqile",,"2,000,000",,2016,Jun_2016.csv,Consumer Internet,Student Micro-Loan platform,Private Equity,,,,,,,,,,,,,,,,,,,,
14.0,07/06/2016,Intgrea,,Bangalore,Undisclosed Investor,,"100,000",,2016,Jun_2016.csv,Technology,Post merger Integration Partners,Seed Funding,,,,,,,,,,,,,,,,,,,,
15.0,07/06/2016,HelpShift,,Pune,"Microsoft Ventures, Salesforce Ventures",,"23,000,000",,2016,Jun_2016.csv,Technology,Mobile CRM Platform,Private Equity,,,,,,,,,,,,,,,,,,,,
16.0,07/06/2016,CreditVidya,,Mumbai,Kalaari Capital,,"1,000,000",,2016,Jun_2016.csv,Technology,Credit Scoring Platform,Private Equity,,,,,,,,,,,,,,,,,,,,
17.0,08/06/2016,Grey Campus,,Hyderabad,Sarath Sura,,"1,000,000",,2016,Jun_2016.csv,Consumer Internet,Online Learning Platform,Seed Funding,,,,,,,,,,,,,,,,,,,,
18.0,08/06/2016,ListUp,,Mumbai,"Kae Capital, Kunal Shah, Sandeep Tandon",,"500,000",,2016,Jun_2016.csv,eCommerce,Location based Classified Mobile app,Seed Funding,,,,,,,,,,,,,,,,,,,,
19.0,08/06/2016,6Degree,,Mumbai,Indian Angel Network,,"200,000",,2016,Jun_2016.csv,Technology,Tech-enabled Fashion Talent platform,Seed Funding,,,,,,,,,,,,,,,,,,,,
20.0,08/06/2016,Shopwati,,Gurgaon,Sanjiv Rai,,,,2016,Jun_2016.csv,Consumer Internet,Online Fashion Discussion Community,Seed Funding,,,,,,,,,,,,,,,,,,,,
21.0,08/06/2016,Cookifi,,Bangalore,"Kunal Shah, Aneesh Reddy, Tracxn Labs, Venkat Tadanki, Krishna Mehra, Amit Rathore",,,,2016,Jun_2016.csv,Consumer Internet,Online Chef Discovery & Booking Service,Seed Funding,,,,,,,,,,,,,,,,,,,,
22.0,08/06/2016,StoreKing,,Bangalore,Axiata Digital,,"16,000,000",,2016,Jun_2016.csv,eCommerce,Connecting Small Town Consumers to E-Commerce,Private Equity,,,,,,,,,,,,,,,,,,,,
23.0,08/06/2016,Wired Hub,,Jaipur,"Ankit Maheshwari, Anand Singh",,,,2016,Jun_2016.csv,Real Estate,Co-Working Spaces,Seed Funding,,,,,,,,,,,,,,,,,,,,
24.0,08/06/2016,MySeniorDoctor,,Gurgaon,BlackJag Partners,,"200,000",,2016,Jun_2016.csv,Consumer Internet,Online medical support platform,Seed Funding,,,,,,,,,,,,,,,,,,,,
25.0,09/06/2016,Teabox,,Siliguri,Cameron Jones,,,,2016,Jun_2016.csv,eCommerce,Online Tea Store,Seed Funding,,,,,,,,,,,,,,,,,,,,
26.0,09/06/2016,ExtraaEdge,,Pune,"Ritesh Dwivedy, Priti Padhy",,,,2016,Jun_2016.csv,Consumer Internet,Student Acquisition Platform,Seed Funding,,,,,,,,,,,,,,,,,,,,
27.0,09/06/2016,EPayLater,,Mumbai,3 undisclosed HNIs,,"2,000,000",,2016,Jun_2016.csv,Technology,Fin-Tech Platform,Seed Funding,,,,,,,,,,,,,,,,,,,,
28.0,10/06/2016,Kyazoonga,,Mumbai,Ratan Tata,,,,2016,Jun_2016.csv,eCommerce,Online event ticketing Platform,Seed Funding,,,,,,,,,,,,,,,,,,,,
29.0,10/06/2016,Paytunes,,New Delhi,"CIO Angel Network, Indian Angel Network",,"500,000",,2016,Jun_2016.csv,Consumer Internet,Mobile based rewards platform,Private Equity,,,,,,,,,,,,,,,,,,,,
30.0,10/06/2016,Kickstart Jobs,,Gurgaon,"Vivek Joshi, Mohit Satyanand, Amit Banati, Arun Khanna",,,,2016,Jun_2016.csv,Technology,Entry level hiring platform,Seed Funding,,,,,,,,,,,,,,,,,,,,
31.0,10/06/2016,Freshee,,Mumbai,Edelweiss Private Equity,,,,2016,Jun_2016.csv,FMCG,Household packaging & Storage product manufacturer,Private Equity,,,,,,,,,,,,,,,,,,,,
32.0,10/06/2016,MadRat Games,,Bangalore,"Ratan Tata, Bhavish Aggarwal, Ankit Bhati, Binny Bansal, Girish Mathrubootham",,,,2016,Jun_2016.csv,Technology,Wearable Gaming Platform,Seed Funding,,,,,,,,,,,,,,,,,,,,
33.0,11/06/2016,Jazzmyride,,New Delhi,TVS Automobile Solutions Ltd,,,,2016,Jun_2016.csv,eCommerce,Auto Parts & Accessories eTailer,Private Equity,,,,,,,,,,,,,,,,,,,,
34.0,11/06/2016,AutoSense,,New Delhi,TVS Automobile Solutions Ltd,,,,2016,Jun_2016.csv,Technology,Data Analytics based Customer Management Services,Private Equity,,,,,,,,,,,,,,,,,,,,
35.0,11/06/2016,Redsun Telematics,,Chennai,TVS Automobile Solutions Ltd,,,,2016,Jun_2016.csv,Consumer Internet,Internet of Things Platform,Private Equity,,,,,,,,,,,,,,,,,,,,
36.0,13/06/2016,KhanaGadi,,Jaipur,50K Ventures,,,,2016,Jun_2016.csv,Consumer Internet,Online Food Delivery for Train Travelers,Seed Funding,,,,,,,,,,,,,,,,,,,,
37.0,13/06/2016,Bombay Shirt Company,,Mumbai,undisclosed investor,,"1,000,000",,2016,Jun_2016.csv,eCommerce,Online custom Shirt retailer,Private Equity,,,,,,,,,,,,,,,,,,,,
38.0,13/06/2016,Matrubharti,,,Viridian Capital,,"30,000",,2016,Jun_2016.csv,Consumer Internet,e-Book Publisher,Seed Funding,,,,,,,,,,,,,,,,,,,,
39.0,14/06/2016,EdTechReview,,New Delhi,EVC Ventures,,,,2016,Jun_2016.csv,Consumer Internet,Education based online portal,Seed Funding,,,,,,,,,,,,,,,,,,,,
40.0,14/06/2016,Bonhomia,,New Delhi,Valpro Capital and existing investors,,,,2016,Jun_2016.csv,Food & Beverage,Premium Tea & Coffee Capsules maker,Private Equity,,,,,,,,,,,,,,,,,,,,
41.0,14/06/2016,Gobolt,,New Delhi,MCube8,,,,2016,Jun_2016.csv,Logistics,B2B Logistics provider,Seed Funding,,,,,,,,,,,,,,,,,,,,
42.0,14/06/2016,Jivox,,Bangalore,"You & Mr Jones, Fortisure Ventures, Diaz Nesamoney",,"6,000,000",,2016,Jun_2016.csv,Technology,Data Driven Advertising platform,Private Equity,,,,,,,,,,,,,,,,,,,,
43.0,14/06/2016,Sminq,,Pune,"Saama Capital, Blume Ventures & Vaibhav Domkundwar",,"1,000,000",,2016,Jun_2016.csv,Consumer Internet,Queue management Mobile app,Seed Funding,,,,,,,,,,,,,,,,,,,,
44.0,14/06/2016,CureJoy,,Bangalore,Accel Partners India,,"4,400,000",,2016,Jun_2016.csv,Consumer Internet,Online Alternative health community platform,Private Equity,,,,,,,,,,,,,,,,,,,,
45.0,15/06/2016,Oneway.cab,,Vadodara,Indian Angel Network,,"450,000",,2016,Jun_2016.csv,Consumer Internet,Taxi Rental Platform,Seed Funding,,,,,,,,,,,,,,,,,,,,
46.0,15/06/2016,GrabOnRent,,Bangalore,IvyCap Ventures and Unicorn India Ventures,,,,2016,Jun_2016.csv,eCommerce,On-demand product rental marketplace,Private Equity,,,,,,,,,,,,,,,,,,,,
47.0,16/06/2016,Diro Labs,,New Delhi,Info Edge (India) Ltd,,"450,000",,2016,Jun_2016.csv,Consumer Internet,Contact Management Mobile App,Private Equity,,,,,,,,,,,,,,,,,,,,
48.0,16/06/2016,Unnati Helpers,,Gurgaon,Info Edge (India) Ltd,,"600,000",,2016,Jun_2016.csv,Consumer Internet,Help Hiring Platform,Private Equity,,,,,,,,,,,,,,,,,,,,
49.0,16/06/2016,Athletto,,Bangalore,Atul Ingle,,,,2016,Jun_2016.csv,Consumer Internet,Sports Venue discovery and booking platform,Seed Funding,,,,,,,,,,,,,,,,,,,,
50.0,16/06/2016,Saavn,,USA,Guy Oseary,,,,2016,Jun_2016.csv,Consumer Internet,Web/Mobile Music Streaming service,Private Equity,,,,,,,,,,,,,,,,,,,,
51.0,16/06/2016,Voonik,,Bangalore,Sequoia Capital,,"20,000,000",,2016,Jun_2016.csv,eCommerce,Online Women’s Fashion Marketplace,Private Equity,,,,,,,,,,,,,,,,,,,,
52.0,16/06/2016,ThinkPhi,,Mumbai,Nimmagadda Prasad,,,,2016,Jun_2016.csv,Technology,Sustainable Green Tech Solution developer,Seed Funding,,,,,,,,,,,,,,,,,,,,
53.0,17/06/2016,Cleartax,,New Delhi,"Ravi Adusumalli, SAIF Partners",,"12,000,000",,2016,Jun_2016.csv,Consumer Internet,Online Tax Filing Platform,Private Equity,,,,,,,,,,,,,,,,,,,,
54.0,17/06/2016,Silvan Innovation Labs,,Bangalore,Infuse Ventures,,"900,000",,2016,Jun_2016.csv,Technology,Home Automation Solutions,Private Equity,,,,,,,,,,,,,,,,,,,,
55.0,17/06/2016,GreytHR,,Bangalore,"New Enterprise Associates (NEA), Blume Ventures",,"5,200,000",,2016,Jun_2016.csv,Technology,Payroll & HR Software Developer,Private Equity,,,,,,,,,,,,,,,,,,,,
56.0,17/06/2016,Duffl,,Bangalore,BetOnIndia Technology Pvt Ltd,,,,2016,Jun_2016.csv,eCommerce,Fashion Rental Marketplace,Seed Funding,,,,,,,,,,,,,,,,,,,,
57.0,17/06/2016,BYG,,Bangalore,"Sanjay Verma, Amit Khanna (LetsVenture)",,,,2016,Jun_2016.csv,Consumer Internet,Fitness centre Discovery & Booking Mobile app,Seed Funding,,,,,,,,,,,,,,,,,,,,
58.0,20/06/2016,Dipper,,New Delhi,Undisclosed investor,,,,2016,Jun_2016.csv,eCommerce,Freight Logistics Marketplace,Seed Funding,,,,,,,,,,,,,,,,,,,,
59.0,20/06/2016,Qonfuse,,New Delhi,Hamraj Kumar,,,,2016,Jun_2016.csv,Consumer Internet,Online Test Papers for competitive exams,Seed Funding,,,,,,,,,,,,,,,,,,,,
60.0,20/06/2016,The Indian IRIS,,Ahmedabad,Timbru Ventures,,,,2016,Jun_2016.csv,Consumer Internet,Govt Policy Research & Information portal,Seed Funding,,,,,,,,,,,,,,,,,,,,
61.0,21/06/2016,Onspoon,,Mumbai,Swan Angel Network,,"150,000",,2016,Jun_2016.csv,Consumer Internet,Online Platform for Event Sponsorship,Seed Funding,,,,,,,,,,,,,,,,,,,,
62.0,21/06/2016,REstate,,Bangalore,Idein Ventures,,,,2016,Jun_2016.csv,Consumer Internet,Real Estate Platform,Seed Funding,,,,,,,,,,,,,,,,,,,,
63.0,21/06/2016,Cleartrip,,Mumbai,"Concur Technologies, Gund Investment",,,,2016,Jun_2016.csv,Consumer Internet,Online Travel Agency,Private Equity,,,,,,,,,,,,,,,,,,,,
64.0,21/06/2016,ProcMart,,Noida,IndiaMart,,,,2016,Jun_2016.csv,Consumer Internet,Online Procurement Marketplace,Private Equity,,,,,,,,,,,,,,,,,,,,
65.0,21/06/2016,Celerix,,Bangalore,Bitkemy Ventures,,"400,000",,2016,Jun_2016.csv,Technology,Fintech Product Development & Services Startup,Seed Funding,,,,,,,,,,,,,,,,,,,,
66.0,21/06/2016,NatureNama,,Mumbai,Unicorn Venture,,"225,000",,2016,Jun_2016.csv,Consumer Internet,Online Outdoors & travel,Seed Funding,,,,,,,,,,,,,,,,,,,,
67.0,21/06/2016,CyclopsMedtech,,Bangalore,CP Bothra,,,,2016,Jun_2016.csv,Technology,Medical Technology Provider,Seed Funding,,,,,,,,,,,,,,,,,,,,
68.0,21/06/2016,Syona Cosmetics,,Chennai,The Chennai Angels,,"150,000",,2016,Jun_2016.csv,FMCG,Beauty Products & Training to Salons & Spas,Seed Funding,,,,,,,,,,,,,,,,,,,,
69.0,21/06/2016,PrettySecrets,,Mumbai,"RB Investments PTE Ltd, Orios Venture Partners",,"6,000,000",,2016,Jun_2016.csv,eCommerce,Women Lingerie Store,Private Equity,,,,,,,,,,,,,,,,,,,,
70.0,22/06/2016,SpiderG,,Pune,"Rahul Kirloskar, Fusion Tech Ventures, Adi Saravanan, Pravin Dongre, Mahendra Doshi",,"150,000",,2016,Jun_2016.csv,Consumer Internet,Online invoice app for SMEs,Seed Funding,,,,,,,,,,,,,,,,,,,,
71.0,23/06/2016,FarEye,,New Delhi,Saif Partners,,"3,500,000",,2016,Jun_2016.csv,Technology,Logistics Management Software,Private Equity,,,,,,,,,,,,,,,,,,,,
72.0,23/06/2016,The Uolo,,Bangalore,"Purvi Ventures, Rajul Garg, Vipin Arora",,"210,000",,2016,Jun_2016.csv,Consumer Internet,School Parent Communication App,Seed Funding,,,,,,,,,,,,,,,,,,,,
73.0,23/06/2016,Staqu,,Gurgaon,Indian Angel Network,,,,2016,Jun_2016.csv,Technology,Artificial Intelligence based search platform,Seed Funding,,,,,,,,,,,,,,,,,,,,
74.0,23/06/2016,Padhopadhao,,New Delhi,Rise India,,,,2016,Jun_2016.csv,Consumer Internet,Home Tutors search & Discovery,Private Equity,,,,,,,,,,,,,,,,,,,,
75.0,24/06/2016,Drivify,,Mumbai,"Jitendra Gupta, Pankaj Tripathi",,"50,000",,2016,Jun_2016.csv,Consumer Internet,Professional Driver discovery & Booking Mobile app,Seed Funding,,,,,,,,,,,,,,,,,,,,
76.0,24/06/2016,PratiLipi,,Bangalore,Nexus Venture Partners,,,,2016,Jun_2016.csv,Consumer Internet,Multi-Lingual self-publishing platform,Seed Funding,,,,,,,,,,,,,,,,,,,,
77.0,24/06/2016,ParaBlu,,Bangalore,Kalaari Capital,,"500,000",,2016,Jun_2016.csv,Technology,Cloud Data Security & Privacy Solutions,Seed Funding,,,,,,,,,,,,,,,,,,,,
78.0,24/06/2016,Schedulers Logistics,,Mumbai,GVFL,,"6,000,000",,2016,Jun_2016.csv,Logistics,Cold Storage Logistics solutions,Private Equity,,,,,,,,,,,,,,,,,,,,
79.0,24/06/2016,LEAP India,,Mumbai,Mayfield Ventures,,"3,000,000",,2016,Jun_2016.csv,Others,Supply Chain Equipment & Services provider,Private Equity,,,,,,,,,,,,,,,,,,,,
80.0,24/06/2016,KabadiExpress,,New Delhi,Undisclosed investor,,"148,000",,2016,Jun_2016.csv,Others,Free Door Step Scrap Pickup Service,Seed Funding,,,,,,,,,,,,,,,,,,,,
81.0,27/06/2016,YourDost,,Bangalore,"SAIF Partners, Aprameya Radhakrishnan, Phanindra Sama, Subba Rao Telidevara, Vibhu Garg, Paula Ravindra Mariwala, Gaurav Bhalotia",,"1,200,000",,2016,Jun_2016.csv,Consumer Internet,Online counselling & Personal coaching platform,Seed Funding,,,,,,,,,,,,,,,,,,,,
82.0,27/06/2016,Gomalon,,Bangalore,Undisclosed investor,,"100,000",,2016,Jun_2016.csv,Consumer Internet,Online Spa & Salon discovery & Booking platform,Seed Funding,,,,,,,,,,,,,,,,,,,,
83.0,27/06/2016,Voler Cars,,New Delhi,"Kanodia family, Amit Banka",,,,2016,Jun_2016.csv,Consumer Internet,Self-Driven Car rental platform,Seed Funding,,,,,,,,,,,,,,,,,,,,
84.0,27/06/2016,Travelyaari,,Bangalore,GVFL Ltd,,"3,000,000",,2016,Jun_2016.csv,Consumer Internet,Online ticket booking platform,Private Equity,,,,,,,,,,,,,,,,,,,,
85.0,28/06/2016,FabHotels,,Gurgaon,"Accel Partners, RB Investments",,"8,000,000",,2016,Jun_2016.csv,Consumer Internet,Online Hotel aggregator & Booking platform,Private Equity,,,,,,,,,,,,,,,,,,,,
86.0,28/06/2016,Locanix,,Ahmedabad,Undisclosed investors,,"300,000",,2016,Jun_2016.csv,Technology,GPS based SaaS Solutions,Seed Funding,,,,,,,,,,,,,,,,,,,,
87.0,28/06/2016,LendingKart,,Ahmedabad,"Bertelsmann India Investments, Mayfield India, Saama Capital, India Quotient",,"32,000,000",,2016,Jun_2016.csv,Consumer Internet,Online Working Capital Business Loans Platform,Private Equity,,,,,,,,,,,,,,,,,,,,
88.0,28/06/2016,Hello Tax,,New Delhi,Sanjeev Sinha,,"295,000",,2016,Jun_2016.csv,Consumer Internet,Online Tax Filing Platform,Seed Funding,,,,,,,,,,,,,,,,,,,,
89.0,28/06/2016,MySuperBrain,,Hyderabad,Soniks Consulting,,,,2016,Jun_2016.csv,Consumer Internet,Online Talent Discovery Platform for Kids,Seed Funding,,,,,,,,,,,,,,,,,,,,
90.0,28/06/2016,BlogBeats,,Bangalore,Undisclosed Investor,,,,2016,Jun_2016.csv,Consumer Internet,Online Blogging Platform,Seed Funding,,,,,,,,,,,,,,,,,,,,
92.0,29/06/2016,LetReach,,New Delhi,vCommission,,"100,000",,2016,Jun_2016.csv,eCommerce,ECommerce SAAS Solutions,Private Equity,,,,,,,,,,,,,,,,,,,,
93.0,29/06/2016,TrendieApp,,Kolkata,Harsh Vardhan Hada,,"50,000",,2016,Jun_2016.csv,Technology,Visual Content Marketing,Seed Funding,,,,,,,,,,,,,,,,,,,,
94.0,29/06/2016,ImpactGuru,,Mumbai,Piyush Jain,,,,2016,Jun_2016.csv,Consumer Internet,Crowdfunding Platform,Seed Funding,,,,,,,,,,,,,,,,,,,,
95.0,29/06/2016,Velvetcase,,Mumbai,"Uniqorn Ventures Fund, TV Mohandas Pai, S Somasegar",,"1,500,000",,2016,Jun_2016.csv,eCommerce,Online designer jewellery marketplace,Private Equity,,,,,,,,,,,,,,,,,,,,
96.0,30/06/2016,Meru Cabs,,Mumbai,Brand Capital,,"25,000,000",,2016,Jun_2016.csv,Consumer Internet,Online/ Mobile Tax Cab booking,Private Equity,,,,,,,,,,,,,,,,,,,,
97.0,30/06/2016,Campus Diaries,,Bangalore,Aarin Capital,,"220,000",,2016,Jun_2016.csv,Consumer Internet,Student focussed Content Discovery portal,Seed Funding,,,,,,,,,,,,,,,,,,,,
98.0,30/06/2016,Scripbox,,Bangalore,"Omidyar Network, Accel Partners & existing investors",,,,2016,Jun_2016.csv,Consumer Internet,Online Mutual Fund Investment platform,Private Equity,,,,,,,,,,,,,,,,,,,,
99.0,30/06/2016,Biryani Blues,,Gurgaon,Carpediem Capital & Others,,"368,000",,2016,Jun_2016.csv,Food & Beverage,QSR Chain,Private Equity,,,,,,,,,,,,,,,,,,,,
100.0,30/06/2016,,,,,,,,2016,Jun_2016.csv,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2016,Jun_2016.csv,,,,,,,,,,,,,,,,,,,,,,,
1.0,01/3/2016,DriveU,,Bangalore,Unitus Seed Fund,,,,2016,Mar_2016.csv,Consumer Internet,Chauffeurs Discovery for private car owners,Seed Funding,,,,,,,,,,,,,,,,,,,,
2.0,01/3/2016,Gympik,,Bangalore,RoundGlass Partners,,,,2016,Mar_2016.csv,Consumer Internet,"Fitness Centres, Gym Discovery online marketplace",Private Equity,,,,,,,,,,,,,,,,,,,,
3.0,01/3/2016,Testbook,,Mumbai,S Chand & Co,,,,2016,Mar_2016.csv,Consumer Internet,Online Test Preparation Platform,Private Equity,,,,,,,,,,,,,,,,,,,,
4.0,01/3/2016,IQlect,,Bangalore,"Lip-Bu Tan, Michael Marks, Nicolas Braithwaite",,,,2016,Mar_2016.csv,Technology,Big Data Analytics Platform,Private Equity,,,,,,,,,,,,,,,,,,,,
5.0,02/3/2016,MoMark,,Noida,YourNest Angel Fund,,"600,000",,2016,Mar_2016.csv,Consumer Internet,Mobile Wallet Aggregation platform,Private Equity,,,,,,,,,,,,,,,,,,,,
6.0,02/3/2016,Skedool,,Seattle / Bangalore,"Kludein LLCPhanindra Sama, Narayan Ramachandran, Pranav Pai",,,,2016,Mar_2016.csv,Consumer Internet,AI based Office Assistant Mobile App,Seed Funding,,,,,,,,,,,,,,,,,,,,
7.0,02/3/2016,Systemantics,,Bangalore,"Nandan Nilekani, Accel Partners",,"1,400,000",,2016,Mar_2016.csv,Technology,Industrial robots maker,Private Equity,,,,,,,,,,,,,,,,,,,,
8.0,03/3/2016,Vertuals,,Mumbai,Dino Morea,,,,2016,Mar_2016.csv,Technology,Audio Visual Digital Content creators for Brands,Seed Funding,,,,,,,,,,,,,,,,,,,,
9.0,03/3/2016,Imarticus Learning,,Mumbai,"Blinc Advisors, Amit Nanavati, Tashwinder Singh, Taranjit Jaswal, Amit Khanna",,"1,000,000",,2016,Mar_2016.csv,Education,Financial Services & Analytics Education Institute,Private Equity,,,,,,,,,,,,,,,,,,,,
10.0,03/3/2016,Shouut,,New Delhi,Undisclosed investor,,"500,000",,2016,Mar_2016.csv,Consumer Internet,Social Discovery Mobile app,Seed Funding,,,,,,,,,,,,,,,,,,,,
11.0,04/3/2016,TinyStep,,Bangalore,Matt Glickman,,,,2016,Mar_2016.csv,Consumer Internet,Parenting Social Network Platform,Private Equity,,,,,,,,,,,,,,,,,,,,
12.0,04/3/2016,Aahaa,,Chennai,"YourNest Angel Fund,",,"1,000,000",,2016,Mar_2016.csv,ECommerce,Office Products Super Store,Private Equity,,,,,,,,,,,,,,,,,,,,
13.0,04/3/2016,Arcatron Mobility,,Pune,"Sudhir Mehta, Anoop Hingorani",,,,2016,Mar_2016.csv,Technology,Smart wheelchair Design and Development,Seed Funding,,,,,,,,,,,,,,,,,,,,
14.0,04/3/2016,FTCash,,Kolkata,IvyCap Ventures,,"150,000",,2016,Mar_2016.csv,Consumer Internet,Mobile Payments Platform,Seed Funding,,,,,,,,,,,,,,,,,,,,
15.0,04/3/2016,Civilsdaily,,New Delhi,Manoj Kumar & Other undisclosed investors,,,,2016,Mar_2016.csv,Consumer Internet,Civil Services News Aggregator,Seed Funding,,,,,,,,,,,,,,,,,,,,
16.0,04/3/2016,Zappka,,Gurgaon,"Daman Soni, Rajat Gupta & Others",,"100,000",,2016,Mar_2016.csv,Consumer Internet,Mobile App discovery and review platform,Seed Funding,,,,,,,,,,,,,,,,,,,,
17.0,04/3/2016,Tarusa World,,Mumbai,Mohit Gulati,,,,2016,Mar_2016.csv,ECommerce,Handicraft products eTailer,Seed Funding,,,,,,,,,,,,,,,,,,,,
